Subsystem,Component,Sub-Component,Potential Failure Mode,Potential Effect(s) of Failure,Severity,Potential Cause(s) of Failure,Occurrence,Current Controls,Detection,RPN,Recommended Action
,, Piston,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
,,,Mechanical  failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily ",3,24,Inspect for optimal replacement interval of engine.
,, Rods,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
,,,Mechanical  failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily ",3,24,Inspect for optimal replacement interval of engine.
,, Crank,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
,,,Mechanical  failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily ",3,24,Inspect for optimal replacement interval of engine.
,, Cam,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
,,,Mechanical  failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily ",3,24,Inspect for optimal replacement interval of engine.
,, Valves,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
,,,Mechanical  failure,"Loss of power, leaking of fluids, and possible engine failure",4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily ",3,24,Inspect for optimal replacement interval of engine.
,, Cylinders,Wearing components,Loss of power / catastrophic engine failure,4,"Overspeed in engine, overheating of components, excess vibrations from broken mounts incorrect engine setup, poor lubrication",2,Engine SOS,3,24,Inspect for optimal replacement interval of engine.
,,,Mechanical  failure,Loss of power / catastrophic engine failure,4,"Large impacts, incorrect handling during installation, corrosion of components",2,"Engine oil sampled, drained and re-filled on all PM services, coolant and oil levels checked daily ",3,24,Inspect for optimal replacement interval of engine.
,, Belts,Wearing components,Loss of function of belt-driven components,3,General wear and tear on component,4,Inspected every 125 hour service,2,24,"Check belts and assembly belts for wearing, stretching and damage at 1000 hour service. "
,,,Mechanical failure,Loss of function of belt-driven components,4,"Incorrect installation, impact with debris or other material",4,Inspected every 125 hour service,2,32,
,, Fan,Mechanical Failure,Overheating of engine,4,Fan bearing collapse,2,Inspected every 125 hour service,2,16,
,,,Physical damage,Overheating of engine,4,Debris damages fan blades,2,Inspected every 125 hour service,2,16,
,Electrical System,ECU,Overloading,"Loss of function, fire, engine shutdown",4,Shorting of connections incorrect rating of fuse installed,2,Investigated upon component failure.,3,24,
,,,Corrosion,"Loss of function, fire, engine shutdown",4,Exposure of terminals and plugs to contaminating elements ,2,"Visual inspection and testing of some components during scheduled maintenance, electrical connections are sealed where possible.",3,24,
,,,,"Loss of function, fire, engine shutdown",4,"impacts to ecu module, incorrect or loose mounting",2,Investigated upon component failure.,2,16,
,,Fuses,"Overloading,","Loss of function, fire, engine shutdown",3,Shorting of connections incorrect rating of fuse installed,3,Investigated upon component failure.,3,27,
,,Wiring Harness,Corrosion,"Loss of function, fire, engine shutdown, terminal connections ineffective and brittle wires",3,Exposure to contaminants over time,3,No current controls,3,27,Grease (add sealant) all connections and plugs every 125 hour service
,,,Physical damage,"Loss of function, fire, engine shutdown",4,May be caused by broken mounting points or insufficient cable flex to allow adequate range of movement,2,Visual inspection and testing of wiring during scheduled maintenance.,2,16,
,,,Overloading,"Loss of function, fire, engine shutdown, multiple component failure",3,Loading components beyond their rated capacity,2,Circuit breaker will trip upon overloading,2,12,
,,Sensors,Wearing,Sensor may give erroneous readings or fail completely,3,Physical impact to sensors or incorrect installation,3,Visual inspection during 125 hour services,2,18,
,,,Corrosion,Loss of Function,3,Exposure of terminals and plugs to contaminating elements ,3,Visual inspection during 125 hour services,2,18,"Perform operational test every 250 hour service - stall speed, high and low idle tests. Grease (add sealant) all connections and plugs every 125 hour service."
,,,Overloading,Sensor will malfunction; unable to operate,3,Shorting of connections incorrect rating of fuse installed,2,Circuit breaker will trip upon overloading,3,18,
,,Actuators,Wearing,"Actuator may function intermittently, at reduced capacity or fail altogether",3,Physical impact to actuator or incorrect installation,2,Visual inspection during 125 hour services,2,12,
,,,Corrosion,Loss of Function,3,Exposure of terminals and plugs to contaminating elements ,2,Visual inspection during 125 hour services,2,12,
,,,Overloading,actuator may be partially or completely destroyed,3,Shorting of connections incorrect rating of fuse installed,2,Circuit breaker will trip upon overloading,3,18,
,Cooling System,Radiator,Leaks,"Loss of power and engine damage, loss of coolant",3,"leaving the cap off, broken pipes, broken components/fittings, incorrect coolant used, level not maintained",4,"Daily visual inspection, coolant SOS every 500 hour service",2,24,Inspect radiator hoses at 250 hour service. Inspect mounting and torques at 500 hour service.
,,,Blockages,Reduced Cooling capacity,3,"Debris and contaminates entering coolant, use of incorrect coolant may corrode the cooling system",1,Radiator checked for blockages every scheduled 125 hour service,3,9,Inspect for optimal replacement interval.
,,,Blockages,,3,"Debris and contaminates entering coolant, use of incorrect coolant may corrode the cooling system",1,Radiator checked for blockages every scheduled 125 hour service,3,9,
,,Water Pump,Mechanical Failure,"Loss of Cooling Capacity, engine shutdown",4,"Collapsed bearing, impellor destroyed, pump run dry, General wear and tear to pump",3,Water pump inspected every 125 hour service,3,36,
,,,Leaks,Loss of cooling fluid and system pressure,3,"damage to fittings, corrosion of case, improper installation, failed gasket",2,Water pump inspected every 125 hour service,2,12,
,,,Wearing,Possible reduced or loss of cooling function,3,"Physical impact to casing, improper mounting of the water pump to the engine",2,Water pump inspected every 125 hour service,2,12,
,,Coolant hoses,Leaking,Loss of cooling fluid and system pressure,2,"Wearing of hoses,  Physical impact causing tears",3,No current controls,2,12,Inspect hoses every 125 hour service
,,Coolant tank,Leaking,Loss of cooling fluid and system pressure,2,Physical impact tank cracks,3,Coolant SOS,2,12,Inspect tank every 125 hour service. Change coolant filter at 500 hour service. Change coolant at 2000 hour service. 
,,Fan drive assembly,Wearing,Heating of power unit.,2,Wearing over time.,3,Inspection on 125 hour service.,2,12,Inspect for optimal replacement interval.Check engine fan assembly at 500 hour service. 
,Air Intake System,Air filter,Reaches end of usable life,"Intake contaminated, loss of power",3,Extremely dusty operating conditions,5,Scheduled change out on 125 hour service,1,15,Check air filter indicators on daily inspections
,,Air filter housing,Physical damage,Filters may become damaged or bypassed,3,Impact to assembly ,4,Visual inspection daily for damages,2,24,
,,Turbocharger,Mechanical Failure,"Loss of power,  smokey engine",3,"Contaminated air flow, lack of lubrication, lack of cooling, excessive vibrations",3,Scheduled component change out,3,27,
,,,Leaking,"Loss of power, smokey engine",2,Missing clamp connections or damaged fittings,3,Inspect induction hoses and joints every 125 hour service,3,18,
,,Mass air flow sensor,Corrosion,"Loss of power, smokey engine, engine shutdown",2,Exposure to contaminats that may cause corrosion of terminals and plug conections,3,Investigated upon component failure.,3,18,
,,,Overloading,"Loss of power smokey engine, engine shutdown",2,Shorting of connections incorrect rating of fuse installed,2,Investigated upon component failure.,3,12,
,,,Physical damage,"Loss of power smokey engine, engine shutdown",2,Sensor may be damaged by impact or incorrect installation of component,2,Investigated upon component failure.,2,8,
,,Charge Air Cooler,Physical damage ,"Loss of power smokey engine, engine shutdown",2,Physical Impact,2,Visual inspection on 125 hour services,2,8,
,,Inlet Manifold,Physical damage ,"Loss of power smokey engine, engine shutdown",3,Physical impact,2,Visual inspection on 125 hour services,2,12,
,,,Leaking,"Loss of power smokey engine, engine shutdown",2,"incorrect installation, broken gasket or fitting, loose mounting point",3,Visual inspection on 125 hour services,3,18,
,Lubrication System,Sump,Leak,"Overheating engine, excessive wearing, fire, catastrophic engine failure, enviromental damage",2,Loose or damaged fittings,2,Daily visual inspection,2,8,
,,,Dents or cracks,"Loss of oil leading to overheating, excess component wear, fire, catastrophic engine failure, enviromental damage",3,Physical impact to sump,2,Daily visual inspection,1,6,
,,Lubrication Pump,Leaks,"Loss of oil leading to overheating, excess component wear, fire, catastrophic engine failure, enviromental damage",3,"Incorrect fittings, loose fittings, General wear and tear",2,Daily visual inspection,2,12,
,,,Mechanical Failure,"Engine shutdown on low pressure, may cause significant engine damage",3,"Pump mechanical failure from general wear or impact, bearing failure",2,Investigated upon component failure.,3,18,
,,,Dents or cracks,May reduce oil pressure or cause oil leak leading to fire hazard,2,Physical impact,2,Investigated upon component failure.,2,8,
,,Oil Cooler,Leaks,"Fire hazard, may reduce oil pressure and cause shutdown, oil may be present in coolant or coolant in oil",3,may be caused by loose or damage fitings or radiator core,3,visual inspection for leaks daily,2,18,
,,,Blocked,"possible damage to system due to back pressure, damage due to lack of flow of oil to engine",2,"may be cause by contaminated oil, or internal corrosion of core and lubrication system",3,Investigated upon component failure.,3,18,
,,Oil Filter,Leaks,"Loss of oil, possible fire hazard ",3,"may be caused by a damaged filter, or filter head, missing or damaged seal, incorrect installation",2,visual inspection for leaks daily,2,12,
,,,Wearing,"Loss of oil, possible fire hazard",2,physicall impact to filter or incorrect instalation,3,visual inspection for daily,1,6,
,,,Blocked,"contamination of oil, possible damage to system if bypass valve is non functioning",3,"incorrect instalation, contamination of oil",2,change oil and filter on all pm services,3,18,
,,Lubrication lines,Blocked,"Excessive componont wear, engine failure; possible fire hazard",3,"Contaminated oil, debris from engine component failure",2,Inspected daily and on 125 hour services,4,24,
,,,Leaks,"Loss of oil, and lubrication, possible fire hazard",2,"Loose fittings, possible incorrect installation,",2,Inspected daily and on 125 hour services,3,12,
,,,Physical damage,"Excessive componont wear, engine failure; possible fire hazard",3,Physical impact to lines,2,Inspected daily and on 125 hour services,2,12,
,,Dipstick,Broken,Unable to check engine oil level,1,Item impacted,3,Used daily,1,3,
,Exhaust System,Exhaust Stack,Physical damage,Reduced emissions performance,2,"Excessive vibration, broken waste gate",3,Scheduled component change out,1,6,Clean exhaust purifier at 1000 hour service. 
,,Exhaust Manifold,Physical damage,Loss of power hot gas in engine bay reduced emissions quality,2,Item impacted,3,Inspected daily and on 125 hour services,2,12,
,,,Leaking,Loss of power hot gas in engine bay reduced emissions quality,2,"Corrosion of manifold, incorrect installation, damaged gasket",3,Inspected daily and on 125 hour services,3,18,
,,Catalytic converter,Physical damage,Reduction in emissions quality,1,Physical impact,3,Inspected daily and on 125 hour services,2,6,
,,,Contamination,Reduction in emissions quality,1,"Poor quality fuel or additives, harsh operating enviroment",2,Inspected daily and on 125 hour services,4,8,
Power Train,Upbox,Housing,Wearing,Damage to upbox components,4,"Physical Impact, incorrect installation",2,Visual inspection,2,16,Inspect for optimal replacement interval of component.
,,Gears,Wearing,Damage to gear teeth or bearings,3,"Physical Impact, incorrect installation",3,Oil sample wear test,4,36,"Training for correct installation, investigate methods to better utilise oil samples"
,,Coupling,Wearing,Possible excess vibrations or complete failure of joint,3,"Physical Impact, incorrect installation",3,Visual inspection,3,27,Inspect for optimal replacement interval of component.
,,Lubrication,Incorrect Lubrication,Increased wear of heating of components ,2,Servicing error,2,Oil  Sample Wear Test regular oil change and oil storage management,4,16,
,,,Degradation of Lubrication,Increased wear of heating of components ,1,"Blocking of breather cap,  poor storage or mixing of oils",2,Oil  Sample Wear Test,4,8,
,,Sensors,Wearing,Loss of function of sensor,3,"Physical Impact, incorrect installation",3,Investigated upon component failure,3,27,
,,,Corrosion,Loss of function of sensor,3,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",3,Investigated upon component failure,3,27,Include visual inspection for corrosion during PM service: 500 hrs
,Dropbox,Housing,Wearing,Damage to upbox components,4,"Physical Impact, incorrect installation",2,Investigated upon component failure,2,16,Inspect for optimal replacement interval of component.
,,Gears,Wearing,Damage to gear teeth or bearings,3,"Physical Impact, incorrect installation",3,Investigated upon component failure,4,36,Include visual inspection of dropbox components during PM services - 500 hrs
,,Coupling,Wearing,Possible excess vibrations or complete failure of joint,3,"Physical Impact, incorrect installation",3,Inspected at 125hr service,3,27,Inspect for optimal replacement interval of component.
,,Lubrication,Incorrect Lubrication,Increased wear of heating of components ,2,Servicing error,2,Oil sample wear test,4,16,
,,,Degradation of Lubrication,Increased wear of heating of components ,1,"Blocking of breather cap,  poor storage or mixing of oils",2,Oil  Sample Wear Test regular oil change and oil storage management,4,8,
,,Sensors,Wearing,loss of function of sensor,3,"Physical Impact, incorrect installation",3,Investigated upon component failure,3,27,
,,,Corrosion,loss of function of sensor,3,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",3,Investigated upon component failure,3,27,
,,Cooler,"Wearing, dirt build up",Components heat up,2,Wearing of component over time; dirt build up on cooler and fins,3,Investigated upon component failure,2,12,Check dropbox cooler and fins and remove dirt build-up on 500 hour service
,Transmission,Electronic control unit (ECU),Wearing,damage to unit causing partial or complete failure,4,"Physical Impact, incorrect installation",3,Investigated upon component failure,3,36,Inspect for optimal replacement interval of component.
,,,Corrosion,Partial or complete loss of function due to component  or connection failure,4,"Exposure to contaminates, physical damage to sensor, grounding or crossing of cables to give false reading",3,Investigated upon component failure,3,36,Investigate method to include auto-electrical servicing in PM services. Grease (add sealant) all connections and plugs every 500 hour service.
,,,Overloading,possible permanent damage to ecu resulting in blown fuses or component damage,4,Shorting of sensor power surge,2,Investigated upon component failure,4,32,
,,Control valve,Wearing,Damage to valve preventing normal function,4,"Physical Impact, incorrect installation",2,Investigated upon component failure,3,24,
,,Torque converter,Wearing,physical damage to the torque converter reducing or ,3,"Physical Impact, incorrect installation",2,Investigated upon component failure,3,18,
,,,Incorrect Lubrication,"increased wear on components, increased heating of components",2,Servicing error,2,Oil sample wear test,4,16,
,,,Degradation of Lubrication,"increased wear on components, increased heating of components",1,"Blocking of breather cap,  poor storage or mixing of oils",2,Oil sample wear test regular oil change and oil storage management,4,8,
,,Lock-up clutch,Wearing,Lock up clutch cannot be engaged at synch speed,3,"Physical Impact, incorrect installation",2,Investigated upon component failure,4,24,"Training for correct installation, include visual inspection of clutch during PM service: 500 hrs"
,,Planetary gear sets,Wearing,"physical damage to gears causing stripping of teeth, collapse of bearings or deformation",3,"Physical Impact, incorrect installation",3,Oil sample wear test,4,36,"Training for correct installation, investigate methods to better utilise oil samples"
,,Transmission hydraulics,Wearing,Loss of Hydraulic oil or blockage,3,"Physical Impact, incorrect installation",3,Investigated upon component failure,2,18,
,,,Leaking,loss of hydraulic oil,3,"Loose fittings, incorrect installation, degraded seals, General wear and tear on components",3,Visual inspections on daily,3,27,
,,Retarder Actuator,Wearing,actuator will not function correctly,4,"Physical Impact, incorrect installation",2,Visual inspection at 125hr service,2,16,
,,,Leaking,reduced or lost function,3,"Loose fittings, incorrect installation, degraded seals, General wear and tear on components",2,Visual inspection at 125hr service,2,12,
,,Retarder Slave Cylinder,Wearing,reduced or lost function,3,"Physical Impact, incorrect installation",2,Visual inspection at 125hr service,2,12,
,,Retarder Valve,Leaking,reduced or lost function,3,"Loose fittings, incorrect installation, degraded seals, General wear and tear on components",2,Investigated upon component failure,2,12,
,,Transmission to Front Axle Driveline,Wearing,Complete failure or increased stress and vibrations,3,"Physical Impact, incorrect installation",3,Visual inspection at 125hr service,2,18,
,,Transmission Mount,Wearing,Complete failure or increased stress and vibrations,2,"Physical Impact, incorrect installation",3,Visual inspection at 125hr service,2,12,Check bolt connection torques on 500 hour service
,,Transmission Input Seal,Wearing,Complete failure or increased stress and vibrations possible contamination and damage to internal parts,3,"Physical Impact, incorrect installation",2,Visual inspection at 125hr service,2,12,
,,Transmission filter housing,Wearing,Loss of hydraulic oil,3,"Physical Impact, incorrect installation",2,Visual inspection at 125hr service,2,12,
,Axles,Front and rear axles,Physical damage,Wearing of components,3,"Physical Impact, incorrect installation",3,Oil sample wear test,2,18,Axle breather - Check for damage. 
,,,Loose bolts,Axle vibrates loose,3,Excessive vibration of components causing vehicle breakdown,2,No current controls,3,18,Check bolt connection torques on 500 hour service
,,Differential,Wearing,"Increased wear or heating of components, degradation of lubrication",2,Servicing error,2,Oil sample wear test,5,20,Inspect for optimal replacement interval of component.
,,,Wearing,"Increased wear or heating of components, degradation of lubrication",2,"Blocking of breather cap,  poor storage or mixing of oils, servicing error",2,Oil sample wear test,5,20,Check for damage or blockages in axle breather on 125 hour service
,,Planetary,Wearing,"Increased wear or heating of components, degradation of lubrication",2,"Blocking of breather cap,  poor storage or mixing of oils, servicing error",2,Oil sample wear test,3,12,"Check oil level, inspect/clean breathers on 125 hour service. Change oil on 500 hour service."
,,Tie plate,Cracking,Increased vibration of axle components,3,"Physical impact, wearing over time",2,No current controls,3,18,Check tie plate torques on 500 hour service
,Drivelines,Engine to Transmission Driveline,"Wearing, loose fittings",Excessive vibration to driveline components,3,"Physical Impact, incorrect installation",3,Visual inspection at 125hr service,2,18,Check bolt torques and universal joint torques on 500 hour service.
,,Articulation Driveline,Wearing,Increased stress on connected components,3,Lubrication of slip joint wears thin,3,Visual inspection at 125hr service,2,18,Inspect and lubricate driveline slip joint and universal joints on 125\ hour service. Inspect for optimal replacement interval of component.
,,,Loose fittings,Excessive vibration to driveline components,3,Vibration causing loose bolts and universal joints,3,Visual inspection at 125hr service,2,18,Check bolt torques and universal joint torques on 500 hour service. 
,,,,,3,Wearing of articulation bearings over time,3,Visual inspection at 125hr service,2,18,Check articulation joint bearings on 500 hour service.
,,Rear Axle Driveline,"Wearing, loose fittings",Excessive vibration to driveline components,3,"Physical Impact, incorrect installation",3,Visual inspection at 125hr service,2,18,Check bolt torques and universal joint torques on 500 hour service.
,,Rear Driveline Pillow Block,Wearing,Excessive vibration to driveline components,2,"Physical Impact, incorrect installation",3,Visual inspection at 125hr service,2,12,
,,Drivelines Centre Bearing,Wearing,Excessive vibration to driveline components,3,"Physical Impact, incorrect installation",3,Visual inspection at 125hr service,3,27,
,,Driveshaft,Wearing,Excessive vibration to driveline components,3,"Physical Impact, incorrect installation",2,Visual inspection at 125hr service,2,12,
,,High Speed Shaft,Wearing,Excessive vibration to driveline components,3,"Physical Impact, incorrect installation",2,Visual inspection at 125hr service,2,12,
,Wheelends,Tyre,Balding,Tyres wearing,3,Wearing over time,4,Visual inspection on daily,2,24,
,,Rim,Wearing,Damage to rim,3,"Physical impact, or wearing over time",3,Visual inspection on daily,2,18,Check torques on wheel bolts and nuts during 125 hour service.
,,Flanges,Wearing,Damage to flange,2,"Physical impact, or wearing over time",3,Visual inspection on daily,2,12,
,,Brakes,Wearing,Safety compromised,3,Wearing over time,2,Visual inspection on daily,2,12,Che+H87:Q139ck brake cooling radiator fins during 500 hour service. Change brake pump filter on 500 hour service. Check lining wear at 1000 hour service. 
Hydraulic System,Cylinders,Suspension Cylinder,Leaking,"Reduced efficiency of component, loss of hydraulic oil",2,"General wear and tear, Physical impacts, incorrect installation of seals",3,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,12,
,,,Wearing,Vibration increase leading to further fram and component damage,2,Physical impact,3,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,12,Inspect for optimal replacement interval of component.
,,Suspension Bushing,Wearing,Wearing over time,2,Wearing over time,3,Inspect front suspension bushing at 125 hour service.,2,12,Inspect front suspension bushing for wearing on 125 hour service.
,,Steering Cylinder,Leaking,"Reduced efficiency of component, loss of hydraulic oil",2,"General wear and tear, steering controll valve failure, incorrect installation of seals",3,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,12,
,,,Wearing,"Loss of steering, or reduced function",2,Physical Impact,3,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,12,Inspect for optimal replacement interval of component.
,,Hoist Cylinder,Leaking,"Reduced efficiency of component, loss of hydraulic oil",2,"General wear and tear, physical impacts, incorrect installation of seal or cylinder",1,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,4,
,,,Wearing,"Component may fail completly, unable to raise tub",2,Physical impacts,2,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,3,12,Inspect for optimal replacement interval of component.
,Fittings,Hoses,Wearing,"Loss of hydraulic fluid, reduced function of hydraulic system, fire",3,"Physical impact, Rubbing of hose, exposure to heat",2,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,12,
,,,Leaking,"Reduced hydraulic pressure, Loss of function of compontns, fire",3,General wear and tear,2,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,12,
,,Fittings,Wearing,"Loss of hyrdaulic fluid, reduced function of hydraulic system, Fire",2,Physical impacts,3,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,12,
,,,Leaking,"Loss of hyrdaulic fluid, reduced function of hydraulic system, Fire",2," Incorrect installation, loosening with time, missing washer",3,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,12,
,Pumps,,Mechanical failure,"Reduced hydraulic pressure,",1,"Physical impact,General wear and tear, failure of safety relief valves, increased vibration",3,Investigated upon component failure.,2,6,Collect failure information and and record replacement intervals.
,,,Leaking,"Reduced hydraulic Pressure, Loss of function of components, Fire",2,"Incorrect instalation, General wear and tear, ",3,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,12,Collect failure information and and record replacement intervals.
,,,Wearing,"Reduced Hydraulic pressure, loss of hydraulic fluid possible fire hazard",4,"Physical impact, loose mounting",2,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,16,Collect failure information and and record replacement intervals.
,Valves,,Mechanical failure,"Overcharging of system, reduced functionality and control over hydraulic system, ",4,Physical impact and General wear and tear ,3,Investigated upon component failure.,2,24,Collect failure information and and record replacement intervals.
,,,Leaking,"loss of control of system, loss of hydraulic fluid, possible fire hazard",3,"General wear and tear, incorrect installation",3,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,18,Collect failure information and and record replacement intervals.
,,,Wearing,"loss of control of system, loss of hydraulic fluid, possible fire hazard",4,"Physical impact, loose mounting point",2,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,16,Collect failure information and and record replacement intervals.
,Accumulators,,Leaking,"Overloading of hydraulic system, Increased system vibrations",3,"Physical impact and General wear and tear, failure to correctly charge accumulator",3,Pressure testing For Scheduling of Corrective Maintenance,2,18,Collect failure information and and record replacement intervals.
,,,Mechanical failure,"No dampening in system, may cause severe damage to other components",3,"General wear and tear leading to loss of charge, incorrect instalation",3,Pressure testing For Scheduling of Corrective Maintenance,2,18,Collect failure information and and record replacement intervals.
,,,Wearing,"No dampening in system, may cause severe damage to other components",3,Physical impact incorrect/loose mounting,2,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,12,Collect failure information and and record replacement intervals.
,Tank,,Leaking,"loss of hydraulic oil, eventually causing loss of system hydraulic pressure, enviromental contamination",3,General wear and tear,2,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,12,Inspect oil tank breather for blockages on 125 hour service. Clean breather at 1000 hour service. 
,,,Wearing,"Possible contamination of oil, loss of hydraulic oil, eventually causing loss of system hydraulic pressure, enviromental contamination",4,Physical impact,2,Visual inspection for scheduling of preventative maintenance. Hydraulic SOS every 500 hours.,2,16,
,Filters,,Blockage,increased Back pressure and loss of system performance ,4,"contaminated oil, broken component part, incorrect instalation",2,"Visual inspection of filter element on dailys,oil sampled and filters replaced every 500hrs, hydraulic oil replaced every 500 hrs ",2,16,Inspect filter indicator at 125 hour service.
,,,Leaking,"loss of control of system, loss of hydraulic fluid, possible fire hazard",3,"Incorrect instalation damage to filter head, filter as become loose",2,"Visual inspection of filter element on dailys,oil sampled and filters replaced every 500hrs, hydraulic oil replaced every 500 hrs ",2,12,
,,,Wearing,"increased  contamination, possible loss of hydraulic fluid and fire hazard",4,Physical impact,2,"Visual inspection of filter element on dailys,oil sampled and filters replaced every 500hrs, hydraulic oil replaced every 500 hrs ",2,16, Replace filter at 500 hour service.
